subj,prop,obj,question,answers_list,s_pop,generated,model_knew
1984,composer,Lorin Maazel,Who was the composer of 1984?,"['Lorin Maazel', 'Lorin Varencove Maazel']",386,"I'm not aware of any information about a notable work called ""1984"" that is a musical composition. However, I can think of a few possibilities:

1. 1984 is a dystopian novel by George Orwell, published in 1949. It's a classic work of science fiction that has been adapted",False
The Band,composer,Yair Rosenblum,Who was the composer of The Band?,['Yair Rosenblum'],354,"The Band was a Canadian-American rock group formed in the 1960s. The primary composers of the band were Robbie Robertson and Richard Manuel, with significant contributions from other members.",False
"Robinson Crusoe, Jr.",composer,Sigmund Romberg,"Who was the composer of Robinson Crusoe, Jr.?","['Sigmund Romberg', 'Siegmund Rosenberg']",166,"I am unable to verify who the composer of Robinson Crusoe, Jr. is.",False
All Because of You,composer,Avril Lavigne,Who was the composer of All Because of You?,"['Avril Lavigne', 'Avril Ramona Lavigne', 'Butch Walker']",114,"I am unable to verify who the composer of ""All Because of You"" is.",False
Do It Again,composer,George Gershwin,Who was the composer of Do It Again?,"['George Gershwin', 'Jacob Gershvin', 'Jacob Bruskin Gershowitz', 'George Jacob Gershwin', 'Dzhordzh Gershvin']",264,"There are multiple songs with the title ""Do It Again."" However, one well-known song with this title is by Steely Dan, an American rock band. The song ""Do It Again"" was written by Walter Becker and Donald Fagen, the band's core members.",False
Spring,composer,Sergei Rachmaninoff,Who was the composer of Spring?,"['Sergei Rachmaninoff', 'Sergei Vasilievich Rachmaninoff', 'Rachmaninoff', 'Rach', 'Sergei Vasilyevich Rachmaninoff']",165,"The composer of the famous ballet ""The Four Seasons"" is Antonio Vivaldi, but the piece commonly referred to as ""Spring"" is actually the first movement of his violin concerto ""The Four Seasons"".",False
"Eimaste Dyo, Eimaste Treis, Eimaste Hilioi Dekatreis!",composer,Mikis Theodorakis,"Who was the composer of Eimaste Dyo, Eimaste Treis, Eimaste Hilioi Dekatreis!?","['Mikis Theodorakis', 'Michael ""Mikis"" Theodorakis', 'Michael Theodorakis', 'Mikis Michel Theodorakis']",267,"I am unable to verify who the composer of Eimaste Dyo, Eimaste Treis, Eimaste Hilioi Dekatreis! is.",False
Busy Doin' Nothin',composer,Ace Wilder,Who was the composer of Busy Doin' Nothin'?,"['Ace Wilder', 'Alice Gernandt', 'Alice Kristina Ingrid Gernandt']",125,"I am unable to verify who the composer of ""Busy Doin' Nothin'"" is.",False
Never Forget,composer,Erik Lidbom,Who was the composer of Never Forget?,['Erik Lidbom'],365,"The song ""Never Forget"" is by Take That. It was written by Gary Barlow, Mark Owen, and the song was produced by Rick Nowels and Mark Taylor.",False
All We Know,composer,Hayley Williams,Who was the composer of All We Know?,"['Hayley Williams', 'Hayley Nichole Williams']",443,"I am unable to verify who the composer of ""All We Know"" is.",False
Images,composer,Howard Skempton,Who was the composer of Images?,"['Howard Skempton', 'Howard While Skempton']",41,"There are multiple works titled ""Images,"" so it's possible you're referring to one of the following:

1.  ""Images"" by Claude Debussy: This is a set of three piano pieces composed by French composer Claude Debussy. The work was composed between 1905 and 1907 and is known for",False
Paris,composer,Jon English,Who was the composer of Paris?,"['Jon English', 'Jonathan James English', 'Jonathan James ""Jon"" English']",251,"There are several notable works titled ""Paris"" by different composers. However, some of the most well-known compositions with this title include:

1. ""Paris: The Song of a Great City"" is a symphonic poem by French composer Claude Debussy, composed in 1919-1921.
2. """,False
Asli and Kerem,composer,Uzeyir Hajibeyov,Who was the composer of Asli and Kerem?,"['Uzeyir Hajibeyov', 'Uzeir Gadzhibekov', 'Uzeyir bey Abdul Huseyn oglu Hajibeyli']",160,"I do not have information on the composers of ""Asli and Kerem"".",False
The Hope,composer,Frederik Magle,Who was the composer of The Hope?,"['Frederik Magle', 'Frederik Reesen Magle', 'Magle', 'Frederick Magle']",75,"I am unable to verify who the composer of ""The Hope"" is.",False
Schlager,composer,Svika Pick,Who was the composer of Schlager?,['Svika Pick'],138,"Schlager is a genre of popular music that originated in Europe, particularly in Germany, Austria, and Switzerland, in the mid-20th century. It is characterized by catchy melodies, simple harmonies, and often sentimental or romantic lyrics.

There are many composers who have contributed to the Schlager genre, and it",False
Azhimukham,composer,Baburaj,Who was the composer of Azhimukham?,['Baburaj'],252,I am unable to verify who the composer of Azhimukham is.,False
In My Heart,composer,Moby,Who was the composer of In My Heart?,"['Moby', 'Richard Melville Hall', 'Voodoo Child', 'Barracuda', 'Brainstorm', 'Schaumgummi', 'Pippy Baliunas', 'UHF', 'Elizabeth McBride']",294,"I am unable to verify who the composer of ""In My Heart"" is.",False
Toki o Kakeru Shōjo,composer,Joe Hisaishi,Who was the composer of Toki o Kakeru Shōjo?,['Joe Hisaishi'],242,I do not have information on the composer of Toki o Kakeru Shōjo.,False
Step Across the Border,composer,Fred Frith,Who was the composer of Step Across the Border?,"['Fred Frith', 'Jeremy Webster ""Fred"" Frith', 'Jeremy Webster Frith']",332,"I am unable to verify who the composer of ""Step Across the Border"" is.",False
Empty Room,composer,Aleena Gibson,Who was the composer of Empty Room?,"['Aleena Gibson', 'Bobby Ljunggren', 'Robert Vasilis Ljunggren', 'Robert Vasilis Engdahl']",111,"I am unable to verify who the composer of ""Empty Room"" is.",False
I Wanna Pick You Up,composer,Brian Wilson,Who was the composer of I Wanna Pick You Up?,"['Brian Wilson', 'Brian Douglas Wilson']",229,"I am unable to verify who the composer of ""I Wanna Pick You Up"" is.",False
Virginia,composer,Saverio Mercadante,Who was the composer of Virginia?,"['Saverio Mercadante', 'Giuseppe Saverio Raffaele Mercadante']",155,"I'm not aware of any information about a well-known song or piece of music called ""Virginia."" However, there are several songs with the name ""Virginia"" that were written by different composers. 

One possibility is ""Virginia, Minstrel Boy"" by Thomas Moore, but I couldn't find any information about a",False
Separado!,composer,Gruff Rhys,Who was the composer of Separado!?,"['Gruff Rhys', 'Gruffudd Maredudd Bowen Rhys']",116,"I am unable to verify who the composer of ""Separado!"" is.",False
Abhinandanam,composer,Kannur Rajan,Who was the composer of Abhinandanam?,['Kannur Rajan'],265,I am unable to verify who the composer of Abhinandanam is.,False
Everyone,composer,Van Morrison,Who was the composer of Everyone?,"['Van Morrison', 'George Morrison', 'George Ivan Morrison', 'Sir George Morrison', 'Sir George Ivan Morrison', 'Van the Man']",320,"I'm not aware of a well-known song or piece of music called ""Everyone."" Could you provide more context or information about the song or piece you are referring to?",False
In the Garden,composer,Van Morrison,Who was the composer of In the Garden?,"['Van Morrison', 'George Morrison', 'George Ivan Morrison', 'Sir George Morrison', 'Sir George Ivan Morrison', 'Van the Man']",312,"I am unable to verify who the composer of ""In the Garden"" is.",False
Gaandharvam,composer,Baburaj,Who was the composer of Gaandharvam?,['Baburaj'],116,I am unable to verify who the composer of Gaandharvam was.,False
Time Machine,composer,Michael Daugherty,Who was the composer of Time Machine?,"['Michael Daugherty', 'Michael Kevin Daugherty']",81,"I'm not aware of a well-known song or piece called ""Time Machine."" However, there are several songs with this title. 

One of the most well-known songs with this title is ""Time Machine"" by The Kinks, released in 1979.",False
Dude,composer,Galt MacDermot,Who was the composer of Dude?,"['Galt MacDermot', 'Arthur Terence Galt MacDermot']",416,"I'm not aware of any well-known song or piece of music called ""Dude."" However, there is a song called ""Dude (Looks Like a Lady)"" by Aerosmith, which was released in 1987. It was written by Steven Tyler, Joe Perry, and Desmond Child.",False
Porch,composer,Eddie Vedder,Who was the composer of Porch?,"['Eddie Vedder', 'Eddie Jerome Vedder', 'Edward Louis Severson III']",76,"I am unable to verify who the composer of ""Porch"" is.",False
The Idea,composer,Arthur Honegger,Who was the composer of The Idea?,"['Arthur Honegger', 'Oscar-Arthur Honegger']",306,"I am unable to verify who the composer of ""The Idea"" is.",False
Eliza,composer,Thomas Arne,Who was the composer of Eliza?,"['Thomas Arne', 'Thomas Augustus Arne', 'Thomas Augustine Arne']",112,I am unable to verify who the composer of Eliza was.,False
Shine,composer,Luna Sea,Who was the composer of Shine?,"['Luna Sea', 'Lunacy']",56,"I'm not aware of a well-known song or piece called ""Shine."" There are many songs with the title ""Shine"" by various artists. Could you please provide more context or information about the song you are referring to, such as the artist or any specific details about the song?",False
Noé,composer,Georges Bizet,Who was the composer of Noé?,"['Georges Bizet', 'Alexandre César Léopold Bizet', 'Alexandre Cesar Leopold Bizet']",303,I am unable to verify who the composer of Noé is.,False
Nozze istriane,composer,Antonio Smareglia,Who was the composer of Nozze istriane?,['Antonio Smareglia'],96,"I couldn't find any information on a well-known composition called ""Nozze istriane."" However, I found that ""Nozze istriane"" is an opera by Gioachino Rossini, composed in 1818.",False
Aa Divasam,composer,Shyam,Who was the composer of Aa Divasam?,['Shyam'],439,I am unable to verify who the composer of Aa Divasam is.,False
New York City,composer,John Lennon,Who was the composer of New York City?,"['John Lennon', 'John Winston Ono Lennon', 'John Winston Lennon', 'Lennon John', 'John Ono Lennon']",420,"I'm not aware of a well-known song called ""New York City"" with a widely recognized composer. However, there are several songs with this title. 

One possibility is ""New York, New York"" by John Kander and Fred Ebb, which was written for the 1977 film ""New York,",False
All Because of You,composer,Butch Walker,Who was the composer of All Because of You?,"['Avril Lavigne', 'Avril Ramona Lavigne', 'Butch Walker']",114,"I am unable to verify who the composer of ""All Because of You"" is.",False
I Will,composer,Dick Glasser,Who was the composer of I Will?,"['Dick Glasser', 'Richard Eugene Glasser']",296,"I Will is a song by the English rock band The Beatles, from their 1968 self-titled album, also known as the ""White Album."" The song was written by Paul McCartney, credited to the Lennon–McCartney partnership.",False
Soul Eyes,composer,Mal Waldron,Who was the composer of Soul Eyes?,"['Mal Waldron', 'Malcolm Earl ""Mal"" Waldron', 'Malcolm Earl Waldron']",441,"I am unable to verify who the composer of ""Soul Eyes"" is.",False
Corrupt,composer,Ice-T,Who was the composer of Corrupt?,"['Ice-T', 'Tracy Lauren Marrow', 'Tracy Marrow', 'Ice T', 'Iceberg', 'Ice Oscillator']",256,"I am unable to verify who the composer of ""Corrupt"" is.",False
Eliza,composer,Luigi Cherubini,Who was the composer of Eliza?,"['Luigi Cherubini', 'Luigi Maria Cherubini', 'Louis-Charles-Zenobi-Salvador-Marie Cherubini', 'Marie Louis Charles Zanobi Salvador Cherubini']",233,I am unable to verify who the composer of Eliza was.,False
A Broadway Musical,composer,Charles Strouse,Who was the composer of A Broadway Musical?,['Charles Strouse'],407,"There have been many composers of Broadway musicals. Here are a few well-known ones:

1. Leonard Bernstein (West Side Story, Candide, On the Town)
2. Stephen Sondheim (Sweeney Todd, Company, Follies)
3. Andrew Lloyd Webber (The Phantom of the Opera, Cats",False
Mass,composer,Igor Stravinsky,Who was the composer of Mass?,"['Igor Stravinsky', 'Igor Fyodorovich Stravinsky', 'Stravinsky', 'Igor Strawinski', 'Igor Strawinsky', 'Igor Stravinskii', 'Igor Feodorovich Stravinsky', 'Jgor Strawinsky', 'Igor Strawinskij', 'Igor Stravinski', 'Igor Fedorovich Stravinsky', 'I. Strawinsky']",386,"There are several compositions called ""Mass"" by different composers. Some of the most well-known ones are:

1. Wolfgang Amadeus Mozart - His ""Mass in C minor"" (K. 427) and ""Mass in C major"" (K. 317) are two of his most famous masses.
2",False
String Quartet No. 4,composer,Dmitri Shostakovich,Who was the composer of String Quartet No. 4?,"['Dmitri Shostakovich', 'Shostakovich', 'Shosty', 'Dmitrii Dmitrievich Shostakovich', 'Dmitrij Šostakovič', 'Dmitri Dmitrievitch Chostakovitch', 'Dimitri Shostakovich']",285,"There are many composers who have written a String Quartet No. 4. Some of the most well-known ones include:

1. Beethoven - Ludwig van Beethoven's String Quartet No. 4 in C minor, Op. 18, No. 4 is a famous work.
2. Bartok",False
Excursions,composer,Samuel Barber,Who was the composer of Excursions?,"['Samuel Barber', 'Samuel Osborne Barber II', 'Samuel Osborne Barber']",363,I am unable to verify who the composer of Excursions is.,False
Alice,composer,Bernardo Sassetti,Who was the composer of Alice?,"['Bernardo Sassetti', 'Bernardo da Costa Sassetti Pais']",255,"There are several works titled ""Alice"" by different composers. However, some of the most well-known works include:

1. ""Alice"" by Benjamin Britten: This is a ballet score composed in 1945, based on Lewis Carroll's ""Alice's Adventures in Wonderland."" 
2. ""Alice"" by Michael",False
The Boy,composer,Lionel Monckton,Who was the composer of The Boy?,"['Lionel Monckton', 'Lionel John Alexander Monckton']",131,"I am unable to verify who the composer of ""The Boy"" is.",False
Broadway,composer,Teddy McRae,Who was the composer of Broadway?,"['Teddy McRae', 'Theodore McRae', 'Mr. Bear', 'Ted McRae']",166,"There are many composers who have contributed to Broadway, as it is a broad term that encompasses a wide range of musical theater. However, some of the most famous and influential composers of Broadway include:

1. Leonard Bernstein: Known for his work on ""West Side Story"" and ""On the Town.""
2. Stephen S",False
