subj,prop,obj,question,answers_list,s_pop,o_pop
Control,author,William Goldman,Who is the author of Control?,"['William Goldman', 'S. Morgenstern', 'Harry Longbaugh']",217,17712
Trends,author,Isaac Asimov,Who is the author of Trends?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",424,266562
Falling,author,Anne Provoost,Who is the author of Falling?,['Anne Provoost'],83,201
Love All,author,Molly Parkin,Who is the author of Love All?,['Molly Parkin'],54,936
The Hero,author,Rabindranath Tagore,Who is the author of The Hero?,"['Rabindranath Tagore', 'Rabīndranātha Thākur', 'Kabiguru', 'Tagore', 'Bishwakabi', 'R. Tagore', 'Rabindranat Tagor', 'Bhanu Singha Thakur', 'Gurudev', 'Biswakabi', 'Nyi Wang Gönpo', 'Tagore, rabindranath']",22,189626
The Saint,author,Leslie Charteris,Who is the author of The Saint?,"['Wesley Strick', 'Burl Barer', 'Jonathan Hensleigh', 'Jonathan Blair Hensleigh', 'Leslie Charteris', 'Leslie Charles Bowyer-Yin']",249,4456
Home Country,author,Ernie Pyle,Who is the author of Home Country?,"['Ernie Pyle', 'Ernest Taylor ""Ernie"" Pyle', 'Ernest Taylor Pyle']",139,7080
Finder,author,Emma Bull,Who is the author of Finder?,['Emma Bull'],136,736
Molly Moon Stops the World,author,Georgia Byng,Who is the author of Molly Moon Stops the World?,"['Georgia Byng', 'Lady Georgia Mary Caroline Byng', 'Lady Georgia Byng', 'Georgia Mary Caroline Byng']",267,1110
The Sun Chemist,author,Lionel Davidson,Who is the author of The Sun Chemist?,['Lionel Davidson'],85,523
Lotte's Gift,author,David Williamson,Who is the author of Lotte's Gift?,"['David Williamson', 'David Keith Williamson']",49,3666
E,author,Matt Beaumont,Who is the author of E?,['Matt Beaumont'],197,233
Amazon,author,Michael Crichton,Who is the author of Amazon?,"['Michael Crichton', 'John Michael Crichton', 'Michael Douglas', 'Jeffery Hudson', 'John Lange']",484,77167
Searching for Dragons,author,Patricia Wrede,Who is the author of Searching for Dragons?,"['Patricia Wrede', 'Patricia C. Wrede', 'Patricia Collins Wrede']",185,985
Faith,author,Len Deighton,Who is the author of Faith?,"['Len Deighton', 'Leonard Cyril Deighton']",382,11351
Fallen,author,Karin Slaughter,Who is the author of Fallen?,['Karin Slaughter'],207,11465
My Life,author,Leon Trotsky,Who is the author of My Life?,"['Leon Trotsky', 'N. Trotsky', 'Lev Bronstein', 'Lev Davidovich Bronshtein', 'Lev Davidovich Bronstein', 'Leon Trotski']",316,117091
The Victim,author,Saul Bellow,Who is the author of The Victim?,"['Saul Bellow', 'Solomon Bellows']",462,16360
The Mitfords: Letters Between Six Sisters,author,Diana Mitford,Who is the author of The Mitfords: Letters Between Six Sisters?,"['Mitford family', 'Mitford sisters', 'Diana Mitford', 'Diana Mosley', 'Diana, Lady Mosley', 'Diana Guinness']",359,21339
Missing,author,Karin Alvtegen,Who is the author of Missing?,['Karin Alvtegen'],115,255
Next,author,Terrence McNally,Who is the author of Next?,['Terrence McNally'],146,7590
Exposure,author,Mal Peet,Who is the author of Exposure?,"['Mal Peet', 'Malcolm Charles Peet']",126,271
Collision,author,Jeff Abbott,Who is the author of Collision?,['Jeff Abbott'],59,696
Let's Take the Long Way Home,author,Gail Caldwell,Who is the author of Let's Take the Long Way Home?,['Gail Caldwell'],327,341
Century,author,Fred Mustard Stewart,Who is the author of Century?,['Fred Mustard Stewart'],150,463
Getaway,author,Leslie Charteris,Who is the author of Getaway?,"['Leslie Charteris', 'Leslie Charles Bowyer-Yin']",114,4456
23 Years,author,Ali Dashti,Who is the author of 23 Years?,['Ali Dashti'],358,945
Plus,author,Joseph McElroy,Who is the author of Plus?,"['Joseph McElroy', 'Joseph Prince McElroy']",192,1334
Always,author,Karen Joy Fowler,Who is the author of Always?,['Karen Joy Fowler'],83,1352
The Economics and Ethics of Private Property,author,Hans-Hermann Hoppe,Who is the author of The Economics and Ethics of Private Property?,['Hans-Hermann Hoppe'],62,13449
Psyché,author,Pierre Corneille,Who is the author of Psyché?,"['Philippe Quinault', 'Quinault', 'Pierre Corneille']",460,4843
Ahead of Time,author,Henry Kuttner,Who is the author of Ahead of Time?,"['Henry Kuttner', 'Smith, Woodrow Wilson']",123,2257
Big Money,author,P. G. Wodehouse,Who is the author of Big Money?,"['P. G. Wodehouse', 'Pelham Grenville Wodehouse', 'Sir Pelham Grenville Wodehouse', 'P.G. Wodehouse']",218,30137
Wolf,author,Gillian Cross,Who is the author of Wolf?,['Gillian Cross'],260,733
The Every Boy,author,Dana Adam Shapiro,Who is the author of The Every Boy?,['Dana Adam Shapiro'],53,255
The Middle Years,author,Henry James,Who is the author of The Middle Years?,"['Henry James', 'Henricus James']",90,42955
Keeper of Dreams,author,Orson Scott Card,Who is the author of Keeper of Dreams?,"['Orson Scott Card', 'Brian Green', 'Frederick Bliss', 'Byron Walley', 'Scott Richards', 'Dinah Kirkham', 'P.Q. Gump', 'Byron S. Walley']",162,30166
Capitol,author,Orson Scott Card,Who is the author of Capitol?,"['Orson Scott Card', 'Brian Green', 'Frederick Bliss', 'Byron Walley', 'Scott Richards', 'Dinah Kirkham', 'P.Q. Gump', 'Byron S. Walley']",159,30166
Chaotic,author,Kelley Armstrong,Who is the author of Chaotic?,"['Kelley Armstrong', 'Sarah']",55,2759
The Temple,author,Stephen Spender,Who is the author of The Temple?,"['Stephen Spender', 'Stephen Harold Spender', 'Sir Stephen Harold Spender']",407,11549
Visions of the Universe,author,Isaac Asimov,Who is the author of Visions of the Universe?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",143,266562
Sometime Never...,author,Justin Richards,Who is the author of Sometime Never...?,"['Justin Richards', 'Justin C Richards']",102,485
Embrace,author,Mark Behr,Who is the author of Embrace?,['Mark Behr'],97,344
Resistance,author,Mike Costa,Who is the author of Resistance?,['Mike Costa'],59,1094
Common Sense,author,Tony Benn,Who is the author of Common Sense?,"['Tony Benn', 'Anthony Neil Wedgwood Benn']",255,27415
Chase,author,Dean Koontz,Who is the author of Chase?,"['Dean Koontz', 'Dean Ray Koontz', 'Aaron Wolfe', 'Brian Coffey', 'David Axton', 'Deanna Dwyer', 'John Hill', 'K.R. Dwyer', 'Leigh Nichols', 'Anthony North', 'Owen West', 'Richard Paige']",275,21634
Lighthouse,author,Eugenia Price,Who is the author of Lighthouse?,['Eugenia Price'],304,740
To Die For,author,Linda Howard,Who is the author of To Die For?,"['Linda Howard', 'Linda S. Howington']",106,1096
Into the Woods,author,Lyn Gardner,Who is the author of Into the Woods?,['Lyn Gardner'],95,251
Pearl,author,John Arden,Who is the author of Pearl?,['John Arden'],70,1033
The Media Elite,author,Samuel Robert Lichter,Who is the author of The Media Elite?,['Samuel Robert Lichter'],156,162
Classic,author,Cecily von Ziegesar,Who is the author of Classic?,"['Cecily von Ziegesar', 'Cecily Brooke von Ziegesar']",129,5041
Mother,author,Owen Wister,Who is the author of Mother?,['Owen Wister'],128,1687
After the End,author,Dennis Kelly,Who is the author of After the End?,['Dennis Kelly'],487,5428
Only Human,author,Gareth Roberts,Who is the author of Only Human?,"['Gareth Roberts', 'Gareth John Pritchard Roberts']",129,2675
The Girl,author,Meridel Le Sueur,Who is the author of The Girl?,['Meridel Le Sueur'],194,788
Meltdown,author,Thomas Woods,Who is the author of Meltdown?,['Thomas Woods'],187,3346
The Town,author,William Faulkner,Who is the author of The Town?,"['William Faulkner', 'William Cuthbert Faulkner', 'William Falkner', 'William Cuthbert Falkner']",358,57350
Just a Matter of Time,author,James Hadley Chase,Who is the author of Just a Matter of Time?,"['James Hadley Chase', 'René Lodge Brabazon Raymond', 'Ambrose Grant', 'R. Raymond', 'Raymond Marshall', 'James L. Docherty', 'Rene Lodge Brabazon Raymond', 'James L. Dochery']",93,5608
Vast,author,Linda Nagata,Who is the author of Vast?,"['Linda Nagata', 'Linda Webb Nagata', 'Trey Shiels']",131,588
Fruits,author,Valerie Bloom,Who is the author of Fruits?,['Valerie Bloom'],47,587
Those Who Hunt the Night,author,Barbara Hambly,Who is the author of Those Who Hunt the Night?,"['Barbara Hambly', 'Barbara Hamilton (pseudonym)', 'Barbara Hamilton']",328,1567
Landscape,author,Harold Pinter,Who is the author of Landscape?,['Harold Pinter'],315,26080
Pictures,author,Katherine Mansfield,Who is the author of Pictures?,"['Katherine Mansfield', 'Katherine Mansfield Beauchamp Murry', 'Kathleen Murry', 'Katherine Beauchamp Mansfield', 'Kathleen Mansfield Murry']",203,19345
Shift,author,Tim Kring,Who is the author of Shift?,"['Dale Peck', 'Tim Kring', 'Richard Timothy ""Tim"" Kring', 'Richard Timothy Kring']",65,3364
Dragon,author,Laurence Yep,Who is the author of Dragon?,"['Laurence Yep', 'Laurence Michael Yep']",237,1474
Federation,author,H. Beam Piper,Who is the author of Federation?,"['H. Beam Piper', 'Henry Beam Piper', 'Horace Beam Piper', 'Herbert Beam Piper']",41,1857
Blake,author,Elliott Hayes,Who is the author of Blake?,['Elliott Hayes'],123,131
The Third Gate,author,Lincoln Child,Who is the author of The Third Gate?,['Lincoln Child'],220,2339
Blood Test,author,Jonathan Kellerman,Who is the author of Blood Test?,"['Jonathan Kellerman', 'Jonathan Seth Kellerman']",157,3362
Down,author,Lawrence Miles,Who is the author of Down?,['Lawrence Miles'],108,462
Precaution,author,James Fenimore Cooper,Who is the author of Precaution?,['James Fenimore Cooper'],256,17464
Empire,author,Barry Kitson,Who is the author of Empire?,['Barry Kitson'],487,332
The Grave,author,James Heneghan,Who is the author of The Grave?,['James Heneghan'],130,115
"Washington, D.C.",author,Gore Vidal,"Who is the author of Washington, D.C.?","['Gore Vidal', 'Eugene Luther Gore Vidal', 'Gor Vidal', 'Cameron Kay', 'Eugene Luther Vidal', 'Edgar Box', 'Katherine Everard', 'Eugene Vidal']",450,51430
Therapy,author,Jonathan Kellerman,Who is the author of Therapy?,"['Jonathan Kellerman', 'Jonathan Seth Kellerman']",51,3362
Gowie Corby Plays Chicken,author,Gene Kemp,Who is the author of Gowie Corby Plays Chicken?,['Gene Kemp'],74,196
Opus,author,Michael Hollinger,Who is the author of Opus?,['Michael Hollinger'],92,111
Holiday,author,Philip Barry,Who is the author of Holiday?,['Philip Barry'],402,874
An Age,author,Brian Aldiss,Who is the author of An Age?,"['Brian Aldiss', 'Brian Wilson Aldiss', 'Brian W. Aldiss', 'Jael Cracken', 'Dr. Peristyle', 'C. C. Shackleton']",222,6014
Second Chance,author,Orson Scott Card,Who is the author of Second Chance?,"['Orson Scott Card', 'Brian Green', 'Frederick Bliss', 'Byron Walley', 'Scott Richards', 'Dinah Kirkham', 'P.Q. Gump', 'Byron S. Walley']",211,30166
Confidence,author,Henry James,Who is the author of Confidence?,"['Henry James', 'Henricus James']",183,42955
Metropolitan,author,Walter Jon Williams,Who is the author of Metropolitan?,['Walter Jon Williams'],258,1662
Sorry,author,Gail Jones,Who is the author of Sorry?,['Gail Jones'],116,464
The Well,author,Elizabeth Jolley,Who is the author of The Well?,"['Elizabeth Jolley', 'Monica Elizabeth Jolley', 'Monica Elizabeth Knight']",227,537
Jääpeili,author,Aaro Hellaakoski,Who is the author of Jääpeili?,"['Aaro Hellaakoski', 'Aaro Antti Hellaakoski']",50,212
The Discarded,author,Harlan Ellison,Who is the author of The Discarded?,"['Harlan Ellison', 'Harlan Jay Ellison']",341,28055
Prime Time,author,Mike Tucker,Who is the author of Prime Time?,['Mike Tucker'],73,261
Natalka Poltavka,author,Ivan Kotliarevskyi,Who is the author of Natalka Poltavka?,"['Ivan Kotliarevskyi', 'Ivan Petrovych Kotlyarevsky', 'Ivan Kotliarevsky', 'Ivan Kotlyarevsky', 'Ivan Petrovych Kotliarevskyi', 'Ivan Petrovych Kotliarevsky']",195,502
The Game,author,Harold Brighouse,Who is the author of The Game?,['Harold Brighouse'],147,624
Experience,author,Martin Amis,Who is the author of Experience?,"['Martin Amis', 'Martin Louis Amis']",310,15316
The Storm,author,Daniel Defoe,Who is the author of The Storm?,"['Daniel Defoe', 'Daniel Foe']",439,33041
Trust Territory,author,Janet Morris,Who is the author of Trust Territory?,"['Janet Morris', 'Janet Ellen Morris', 'Janet E. Morris']",29,654
Galax-Arena,author,Gillian Rubinstein,Who is the author of Galax-Arena?,['Gillian Rubinstein'],254,1105
Power,author,Nick Dear,Who is the author of Power?,['Nick Dear'],105,465
Miracle,author,Danielle Steel,Who is the author of Miracle?,"['Danielle Steel', 'Danielle Fernandes Dominique Schülein-Steel', 'Danielle Fernandes Dominique Schuelein-Steel']",146,24351
Balance of Power,author,Dafydd ab Hugh,Who is the author of Balance of Power?,['Dafydd ab Hugh'],83,407
Panic,author,Archibald MacLeish,Who is the author of Panic?,['Archibald MacLeish'],75,3915
The Lie,author,Georges Sari,Who is the author of The Lie?,['Georges Sari'],5,433
Breed,author,Jim Starlin,Who is the author of Breed?,['Jim Starlin'],220,11420
No Connection,author,Isaac Asimov,Who is the author of No Connection?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",296,266562
Race Against Time,author,Carolyn Keene,Who is the author of Race Against Time?,"['Carolyn Keene', 'Caroline Quine']",167,6035
A Sight for Sore Eyes,author,Ruth Rendell,Who is the author of A Sight for Sore Eyes?,"['Ruth Rendell', 'Ruth Grasemann', 'Barbara Vine', 'Baroness Rendell of Babergh', 'Ruth Barbara Grasemann', 'Ruth Barbara Rendell']",215,8244
Skinner's Rules,author,Quintin Jardine,Who is the author of Skinner's Rules?,['Quintin Jardine'],38,922
Visst katten har djuren själ!,author,Margit Sandemo,Who is the author of Visst katten har djuren själ!?,['Margit Sandemo'],41,585
Passage,author,Connie Willis,Who is the author of Passage?,"['Connie Willis', 'Constance Elaine Trimmer Willis']",459,5448
Country of My Skull,author,Antjie Krog,Who is the author of Country of My Skull?,['Antjie Krog'],435,2120
A Woman of the Iron People,author,Eleanor Arnason,Who is the author of A Woman of the Iron People?,"['Eleanor Arnason', 'Eleanor Atwood Arnason', 'Eleanor A. Arnason']",148,344
Invisible,author,Pete Hautman,Who is the author of Invisible?,"['Pete Hautman', 'Peter Murray Hautman']",188,276
45,author,Bill Drummond,Who is the author of 45?,"['Bill Drummond', 'King Boy D', 'William Drummond', 'William Ernest Drummond', 'Time Boy', 'Tenzing Scott Brown']",237,7679
Truth and Tolerance,author,Benedict XVI,Who is the author of Truth and Tolerance?,"['Benedict XVI', 'Joseph Aloisius Ratzinger', 'Pope Benedict XVI', 'Josef Ratzinger', 'Benedetto XVI', 'Pope Emeritus Benedict XVI', 'Joseph Alois Ratzinger']",124,119038
Let's Not,author,Isaac Asimov,Who is the author of Let's Not?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']",85,266562
Europe,author,Henry James,Who is the author of Europe?,"['Henry James', 'Henricus James']",205,42955
Sunset,author,Erin Hunter,Who is the author of Sunset?,['Erin Hunter'],344,7224
Ancestor,author,Scott Sigler,Who is the author of Ancestor?,['Scott Sigler'],190,1256
The Example,author,Tom Taylor,Who is the author of The Example?,"['Tom Taylor', 'Thomas Taylor']",143,901
Click,author,David Almond,Who is the author of Click?,"['Margo Lanagan', 'Deborah Ellis', 'Nick Hornby', 'Nicholas Peter John Hornby', 'David Almond', 'Roddy Doyle', 'Ruaidhrí Ó Dúill', 'Ruaidhri O Duill', 'Gregory Maguire', 'Ruth Ozeki', 'Ruth L. Ozeki', 'Ruth Lounsbury Ozeki', 'Tim Wynne-Jones', 'Linda Sue Park']",291,2444
"Tough, Tough Toys for Tough, Tough Boys",author,Will Self,"Who is the author of Tough, Tough Toys for Tough, Tough Boys?","['Will Self', 'William Woodard Self']",174,11547
Timestorm 2009–2099,author,Brian Reed,Who is the author of Timestorm 2009–2099?,['Brian Reed'],268,-2
Up at the Villa,author,William Somerset Maugham,Who is the author of Up at the Villa?,"['William Somerset Maugham', 'W. Somerset Maugham', 'Somerset Maugham']",418,26937
The Tree,author,John Fowles,Who is the author of The Tree?,['John Fowles'],259,9366
K.,author,Mary Roberts Rinehart,Who is the author of K.?,"['Mary Roberts Rinehart', 'Mary Rinehart']",176,2641
Up Till Now: The Autobiography,author,William Shatner,Who is the author of Up Till Now: The Autobiography?,"['William Shatner', 'Bill Shatner']",248,1118058
Before Midnight,author,Rex Stout,Who is the author of Before Midnight?,"['Rex Stout', 'Rex Todhunter Stout']",182,4213
Marie,author,H. Rider Haggard,Who is the author of Marie?,"['H. Rider Haggard', 'Henry Rider Haggard', 'Sir Henry Rider Haggard', 'H. R. Haggard', 'H Rider Haggard']",267,8650
The Assassins: A Radical Sect in Islam,author,Bernard Lewis,Who is the author of The Assassins: A Radical Sect in Islam?,['Bernard Lewis'],221,6756
White,author,Ted Dekker,Who is the author of White?,"['Ted Dekker', 'Theodore R. Dekker']",270,3751
Pursuit,author,Andy Mangels,Who is the author of Pursuit?,['Andy Mangels'],38,500
El gesticulador,author,Rodolfo Usigli,Who is the author of El gesticulador?,['Rodolfo Usigli'],263,198
I Am NOT Going to Get Up Today!,author,Dr. Seuss,Who is the author of I Am NOT Going to Get Up Today!?,"['Dr. Seuss', 'Theodor Seuss Geisel', 'Dr. Theophrastus Seuss', 'Doctor Seuss', 'Seuss', 'Theodore Seuss Geisel', 'Theo LeSieg', 'Rosetta Stone', 'Theophrastus Seuss']",461,90832
Needle,author,Hal Clement,Who is the author of Needle?,"['Hal Clement', 'Harry Clement Stubbs', 'George Richard', 'Harry C. Stubbs', 'Harry Stubbs']",186,1188
Salvage,author,Orson Scott Card,Who is the author of Salvage?,"['Orson Scott Card', 'Brian Green', 'Frederick Bliss', 'Byron Walley', 'Scott Richards', 'Dinah Kirkham', 'P.Q. Gump', 'Byron S. Walley']",113,30166
